18-Nov-2015 04:44:36 CST  Initiating request to open file file:/eos/uscms/store/user/skalafut/WR/13TeV/RunIISpring15_MiniAODBkgndFiles/TTBar_powheg_pythia8_13TeV_25ns_reMiniAOD_50kevts.root
18-Nov-2015 04:44:38 CST  Successfully opened file file:/eos/uscms/store/user/skalafut/WR/13TeV/RunIISpring15_MiniAODBkgndFiles/TTBar_powheg_pythia8_13TeV_25ns_reMiniAOD_50kevts.root
Begin processing the 1st record. Run 1, Event 28761248, LumiSection 144401 at 18-Nov-2015 04:44:39.745 CST

[ParticleListDrawer] analysing particle collection prunedGenParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
   60 |    -5 -       bbar | 71 |   34   34   61   61 |  1  1 |  41.932     -1.400 -2.530 |    -34.324    -24.087    -79.834    4.800 |
   61 |   513 -        B*0 |  2 |    0   60   82   82 |  7  1 |  38.229     -1.405 -2.523 |    -31.147    -22.165    -73.234    5.325 |
   62 |  2212 -         p+ |  1 |    0    1   -1   -1 |  2  0 |   0.399     -3.801  0.396 |      0.368      0.154     -8.920    0.938 |
   63 |    21 -          g | 71 |    1    1   65   79 |  1  3 |   5.323      0.928  1.393 |      0.943      5.239      5.677    0.000 |
   64 |    -1 -       dbar | 71 |    1    1   65   79 |  1  3 |  12.514      1.485  1.417 |      1.920     12.365     26.218    0.330 |
   65 |  2212 -         p+ |  1 |    0   64   -1   -1 |  4  0 |   0.474      3.852  1.749 |     -0.084      0.467     11.159    0.938 |
   66 |  2212 -         p+ |  1 |    0   64   -1   -1 |  4  0 |   0.226     -5.812 -2.790 |     -0.212     -0.078    -37.698    0.938 |
   67 |     1 -          d | 71 |    0    0   71   87 |  1  6 |   1.566      2.376 -0.599 |      1.293     -0.883      8.356    0.330 |
   68 |     2 -          u | 71 |    0    1   71   87 |  2  6 |   0.777     -7.137 -2.239 |     -0.481     -0.610   -488.578    0.330 |
   69 |    21 -          g | 71 |    1    1   71   87 |  1  6 |  11.085      0.154  2.483 |     -8.766      6.784      1.710    0.000 |
   70 |     5 -          b | 71 |   31   31   71   87 |  1  6 |  35.055      1.548  0.180 |     34.490      6.265     78.712    4.800 |
   71 |  -523 -        B*- |  2 |    0   70   83   83 |  7  1 |  35.590      1.553  0.187 |     34.970      6.618     80.359    5.325 |
   72 |  2212 -         p+ |  1 |    0   70   -1   -1 |  7  0 |   1.582     -5.655  0.840 |      1.056      1.179   -226.018    0.938 |
   73 |  2212 -         p+ |  1 |   37   55   -1   -1 |  5  0 |   3.413      0.624 -2.429 |     -2.581     -2.232      2.272    0.938 |
   74 |   310 -       K_S0 |  1 |   37   55   -1   -1 |  5  0 |   1.367      0.341 -1.248 |      0.433     -1.297      0.476    0.498 |
   75 |  2212 -         p+ |  1 |    0    1   -1   -1 |  2  0 |   0.621      2.397  1.328 |      0.149      0.603      3.387    0.938 |
   76 |  2212 -         p+ |  1 |    0   70   -1   -1 |  7  0 |   0.675      0.052  2.045 |     -0.308      0.600      0.035    0.938 |
   77 |  2212 -         p+ |  1 |    0   70   -1   -1 |  7  0 |   0.172     -7.198 -0.789 |      0.121     -0.122   -115.091    0.938 |
   78 |   310 -       K_S0 |  1 |    0   51   -1   -1 |  7  0 |   3.899      1.271  1.494 |      0.297      3.888      6.399    0.498 |
   79 |   310 -       K_S0 |  1 |    0   64   -1   -1 |  4  0 |   1.307     -0.991  2.412 |     -0.974      0.871     -1.519    0.498 |
   80 |   421 -         D0 |  2 |   46   46   -1   -1 |  1  0 |   3.578      1.969  1.203 |      1.288      3.338     12.562    1.865 |
   81 |  -421 -      Dbar0 |  2 |   52   52   90   90 |  1  1 |   4.576      1.344  1.588 |     -0.078      4.576      8.177    1.865 |
   82 |   511 -         B0 |  2 |   61   61   88   91 |  1  2 |  38.118     -1.405 -2.522 |    -31.039    -22.126    -72.982    5.280 |
   83 |  -521 -         B- |  2 |   71   71   89   89 |  1  1 |  35.548      1.553  0.187 |     34.931      6.595     80.204    5.279 |
   84 |    11 -         e- |  1 |    0   45   -1   -1 |  4  0 |   0.018      1.411  2.753 |     -0.017      0.007      0.035    0.001 |
   85 |   -11 -         e+ |  1 |    0   45   -1   -1 |  4  0 |   0.053      1.732  2.544 |     -0.044      0.030      0.146    0.001 |
   86 |    11 -         e- |  1 |    0   70   -1   -1 |  7  0 |   0.054     -3.855 -0.937 |      0.032     -0.043     -1.263    0.001 |
   87 |   -11 -         e+ |  1 |    0   70   -1   -1 |  7  0 |   0.013     -5.867 -0.980 |      0.007     -0.011     -2.255    0.001 |
   88 |  -411 -         D- |  2 |   82   82   -1   -1 |  1  0 |  17.341     -1.325 -2.603 |    -14.883     -8.900    -30.323    1.870 |
   89 |   421 -         D0 |  2 |   83   83   -1   -1 |  1  0 |  14.772      1.580  0.175 |     14.546      2.570     34.321    1.865 |
   90 |   310 -       K_S0 |  1 |   81   81   -1   -1 |  1  0 |   1.704      1.201  1.690 |     -0.203      1.691      2.575    0.498 |
   91 |   310 -       K_S0 |  1 |   82   82   -1   -1 |  1  0 |  18.811     -1.465 -2.459 |    -14.596    -11.867    -38.540    0.498 |

