18-Nov-2015 04:44:23 CST  Initiating request to open file file:/eos/uscms/store/user/skalafut/WR/13TeV/RunIISpring15_MiniAODBkgndFiles/DYJetsToLL_M_50_madgraph_13TeV_25ns_reMiniAOD_50kevts.root
18-Nov-2015 04:44:25 CST  Successfully opened file file:/eos/uscms/store/user/skalafut/WR/13TeV/RunIISpring15_MiniAODBkgndFiles/DYJetsToLL_M_50_madgraph_13TeV_25ns_reMiniAOD_50kevts.root
Begin processing the 1st record. Run 1, Event 10356421, LumiSection 17913 at 18-Nov-2015 04:44:26.693 CST

THIS EVT HAS Z->tau tau + 2 gluons
[ParticleListDrawer] analysing particle collection prunedGenParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
   35 |  2212 -         p+ |  1 |    0   34   -1   -1 | 17  0 |   1.538     -1.723  2.605 |     -1.322      0.786     -4.171    0.938 |
   36 |  2212 -         p+ |  1 |    0   18   -1   -1 |  3  0 |   0.259     -9.779  2.557 |     -0.216      0.143  -2290.992    0.938 |
   37 |  2212 -         p+ |  1 |    0   34   -1   -1 | 17  0 |   0.625      9.310  2.638 |     -0.548      0.302   3453.470    0.938 |
   38 |   310 -       K_S0 |  1 |    0   34   -1   -1 | 17  0 |   1.189      0.820  1.553 |      0.021      1.189      1.088    0.498 |
   39 |   310 -       K_S0 |  1 |    0   34   -1   -1 | 17  0 |   1.466     -1.909  2.905 |     -1.426      0.343     -4.836    0.498 |
   40 |    16 -     nu_tau |  1 |   15   15   -1   -1 |  1  0 |   7.303     -0.381  0.241 |      7.092      1.743     -2.851    0.000 |
   41 |    11 -         e- |  1 |   15   15   -1   -1 |  1  0 |   3.393     -0.253  0.252 |      3.286      0.848     -0.867    0.001 |
   42 |   -12 -    nu_ebar |  1 |   15   15   -1   -1 |  1  0 |  14.179     -0.392  0.354 |     13.301      4.911     -5.695   -0.000 |
   43 |   -16 -  nu_taubar |  1 |   14   14   -1   -1 |  1  0 |  25.063     -1.622 -1.767 |     -4.894    -24.581    -60.994    0.000 |
   44 |   -13 -        mu+ |  1 |   14   14   -1   -1 |  1  0 |  12.361     -1.589 -1.779 |     -2.555    -12.095    -29.027    0.106 |
   45 |    14 -      nu_mu |  1 |   14   14   -1   -1 |  1  0 |  16.905     -1.598 -1.833 |     -4.386    -16.326    -40.056    0.000 |
   46 |   411 -         D+ |  2 |   19   19   -1   -1 |  1  0 |   7.689      1.440 -0.947 |      4.491     -6.241     15.318    1.870 |

THIS EVT HAS Z->mumu + 0 gluons and quarks
[ParticleListDrawer] analysing particle collection prunedGenParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
    0 |  2212 -         p+ |  4 |   -1   -1    2   35 |  0 13 |   0.000  29256.000  0.000 |      0.000      0.000   6500.000    0.938 |
    1 |  2212 -         p+ |  4 |   -1   -1    3   35 |  0 15 |   0.000 -29256.000  0.000 |      0.000      0.000  -6500.000    0.938 |
    2 |    -2 -       ubar | 21 |    0    0    4    4 |  1  1 |   0.000  22757.801  0.000 |      0.000      0.000      1.801    0.000 |
    3 |     2 -          u | 21 |    1    1    4    4 |  1  1 |   0.000 -23972.607  0.000 |      0.000      0.000  -1216.607    0.000 |
    4 |    23 -         Z0 | 22 |    2    3    5    5 |  2  1 |   0.000 -23970.807  0.000 |      0.000      0.000  -1214.807   93.595 |
    5 |    23 -         Z0 | 44 |    4    4    6    6 |  1  1 |  17.428     -5.232 -2.158 |     -9.652    -14.511  -1631.322   93.595 |
    6 |    23 -         Z0 | 44 |    5    5    7    7 |  1  1 |  22.671     -4.964 -2.670 |    -20.193    -10.308  -1623.263   93.595 |
    7 |    23 -         Z0 | 44 |    6    6    8    8 |  1  1 |  26.238     -4.822 -2.538 |    -21.598    -14.899  -1630.103   93.595 |
    8 |    23 -         Z0 | 44 |    7    7    9    9 |  1  1 |  24.924     -4.866 -2.549 |    -20.677    -13.916  -1616.861   93.595 |
    9 |    23 -         Z0 | 44 |    8    8   10   10 |  1  1 |  25.361     -4.850 -2.538 |    -20.874    -14.405  -1620.453   93.595 |
   10 |    23 -         Z0 | 44 |    9    9   11   11 |  1  1 |  25.392     -4.849 -2.537 |    -20.889    -14.436  -1620.718   93.595 |
   11 |    23 -         Z0 | 44 |   10   10   12   12 |  1  1 |  26.402     -4.810 -2.529 |    -21.608    -15.171  -1620.712   93.595 |
   12 |    23 -         Z0 | 44 |   11   11   13   13 |  1  1 |  26.968     -4.789 -2.517 |    -21.876    -15.770  -1620.708   93.595 |
   13 |    23 -         Z0 | 44 |   12   12   14   14 |  1  1 |  27.340     -4.775 -2.514 |    -22.123    -16.063  -1620.706   93.595 |
   14 |    23 -         Z0 | 62 |   13   13   16   17 |  1  2 |  27.929     -4.754 -2.528 |    -22.829    -16.089  -1620.708   93.595 |
   15 |    22 -      gamma |  1 |    1    1   -1   -1 |  1  0 |   1.309     -5.537  0.815 |      0.898      0.952   -166.232   -0.000 |
   16 |   -13 -        mu+ | 23 |   14   14   18   19 |  1  2 |  13.072     -1.690  0.513 |     11.391      6.411    -34.215    0.106 |
   17 |    13 -        mu- | 23 |   14   14   20   20 |  1  1 |  40.955     -4.350 -2.560 |    -34.220    -22.501  -1586.493    0.106 |
   18 |   -13 -        mu+ |  1 |   16   16   -1   -1 |  1  0 |  13.111     -1.696  0.514 |     11.419      6.442    -34.543    0.106 |
   19 |    22 -      gamma |  1 |   16   16   -1   -1 |  1  0 |   0.054     -1.944 -2.374 |     -0.039     -0.038     -0.185    0.000 |
   20 |    13 -        mu- |  1 |   17   17   -1   -1 |  1  0 |  40.942     -4.350 -2.560 |    -34.209    -22.494  -1585.980    0.106 |
   21 |     3 -          s | 73 |    0    1   23   23 |  2  1 |   4.667      0.100 -1.973 |     -1.825     -4.295      0.468    0.579 |
   22 |    21 -          g | 71 |    0    1   -1   -1 |  2  0 |   6.187     -4.378 -1.538 |      0.203     -6.183   -246.383    0.000 |
   23 |     3 -          s | 71 |   21   21   34   35 |  1  2 |   4.667      0.100 -1.973 |     -1.825     -4.295      0.468    0.579 |
   24 |    21 -          g | 71 |    0    0   34   35 |  1  2 |  14.556     -1.097 -0.306 |     13.882     -4.380    -19.371   -0.000 |
   25 |    21 -          g | 71 |    1    1   34   35 |  1  2 |  10.197     -2.894  1.240 |      3.314      9.644    -91.850    0.000 |
   26 |    -3 -       sbar | 71 |    1    1   34   35 |  1  2 |   2.015     -3.938  0.835 |      1.353      1.493    -51.658    0.500 |
   27 |     1 -          d | 71 |    0    1   30   32 |  2  3 |   8.079     -3.390  2.093 |     -4.030      7.001   -119.668    0.330 |
   28 |    21 -          g | 71 |    0    1   30   32 |  2  3 |   5.231     -2.842  2.354 |     -3.692      3.705    -44.720   -0.000 |
   29 |  2212 -         p+ |  1 |    0    1   -1   -1 |  2  0 |   0.392     -0.899 -1.974 |     -0.154     -0.361     -0.402    0.938 |
   30 |   310 -       K_S0 |  1 |    0   28   -1   -1 |  4  0 |   1.651     -2.009 -1.315 |      0.418     -1.597     -6.040    0.498 |
   31 |  2212 -         p+ |  1 |    0   28   -1   -1 |  4  0 |   2.496     -1.275 -1.018 |      1.310     -2.125     -4.117    0.938 |
   32 |   310 -       K_S0 |  1 |    0   28   -1   -1 |  4  0 |   1.132      0.779 -2.976 |     -1.117     -0.186      0.974    0.498 |
   33 |   443 -      J/psi |  2 |    0    1   -1   -1 |  2  0 |   2.437     -0.670  2.656 |     -2.155      1.137     -1.757    3.097 |
   34 |    11 -         e- |  1 |    0   26   -1   -1 |  6  0 |   0.586     -2.853  1.117 |      0.257      0.527     -5.063    0.001 |
   35 |   -11 -         e+ |  1 |    0   26   -1   -1 |  6  0 |   0.066     -2.836  1.192 |      0.024      0.061     -0.559    0.001 |

THIS EVT HAS Z->ee + 0 gluons and quarks
[ParticleListDrawer] analysing particle collection prunedGenParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
    0 |  2212 -         p+ |  4 |   -1   -1    2   32 |  0 19 |   0.000  29256.000  0.000 |      0.000      0.000   6500.000    0.938 |
    1 |  2212 -         p+ |  4 |   -1   -1    3   32 |  0 16 |   0.000 -29256.000  0.000 |      0.000      0.000  -6500.000    0.938 |
    2 |     1 -          d | 21 |    0    0    4    4 |  1  1 |   0.000  23035.721  0.000 |      0.000      0.000    279.721    0.000 |
    3 |    -1 -       dbar | 21 |    1    1    4    4 |  1  1 |   0.000 -22763.275  0.000 |      0.000      0.000     -7.275    0.000 |
    4 |    23 -         Z0 | 22 |    2    3    5    5 |  2  1 |   0.000  23028.447  0.000 |      0.000      0.000    272.447   90.220 |
    5 |    23 -         Z0 | 44 |    4    4    6    6 |  1  1 |   5.184      4.673  2.665 |     -4.606      2.380    277.387   90.220 |
    6 |    23 -         Z0 | 44 |    5    5    7    7 |  1  1 |   6.100      4.510  2.677 |     -5.453      2.735    277.278   90.220 |
    7 |    23 -         Z0 | 62 |    6    6    8    9 |  1  2 |   4.606      4.789  2.250 |     -2.894      3.584    276.781   90.220 |
    8 |   -11 -         e+ |  1 |    7    7   -1   -1 |  1  0 |  23.166      0.525  2.566 |    -19.428     12.620     12.741    0.001 |
    9 |    11 -         e- |  1 |    7    7   -1   -1 |  1  0 |  18.842      3.334 -0.500 |     16.534     -9.036    264.040    0.001 |
   10 |    -2 -       ubar | 73 |    0    1   16   16 |  2  1 |   6.634     -0.087  0.732 |      4.936      4.432     -0.578    0.688 |
   11 |    21 -          g | 71 |    0    1   13   13 |  2  1 |   6.923      0.159 -1.714 |     -0.986     -6.852      1.107    0.294 |
   12 |    -4 -       cbar | 71 |    0    1   13   13 |  2  1 |  14.028     -1.003 -2.248 |     -8.786    -10.935    -16.542    1.867 |
   13 |  -421 -      Dbar0 |  2 |    0   12   -1   -1 |  4  0 |   7.012     -1.014 -2.241 |     -4.353     -5.497     -8.397    1.865 |
   14 |     5 -          b | 71 |    0    1   17   17 |  2  1 |  22.197     -1.529  1.157 |      8.928     20.323    -48.806    4.800 |
   15 |    21 -          g | 71 |    0    1   17   17 |  2  1 |   6.347     -0.470  0.778 |      4.521      4.455     -3.095   -0.000 |
   16 |    -2 -       ubar | 71 |   10   10   17   17 |  1  1 |   6.634     -0.087  0.732 |      4.936      4.432     -0.578    0.688 |
   17 |  -511 -      Bbar0 |  2 |    0   16   28   30 |  5  3 |  22.232     -1.542  1.133 |      9.433     20.131    -49.554    5.280 |
   18 |     2 -          u | 71 |    0    0   20   32 |  1  3 |   1.117      0.555 -1.886 |     -0.347     -1.062      0.653    0.330 |
   19 |    -5 -       bbar | 71 |    1    1   20   32 |  1  3 |   2.223     -3.847 -0.586 |      1.853     -1.229    -52.058    4.800 |
   20 |   513 -        B*0 |  2 |    0   19   33   33 |  4  1 |   2.274     -3.940 -0.105 |      2.262     -0.237    -58.451    5.325 |
   21 |    21 -          g | 71 |    0    0   -1   -1 |  1  0 |   7.126      3.486 -3.112 |     -7.122     -0.213    116.233    0.000 |
   22 |     4 -          c | 71 |    0    1   23   23 |  2  1 |  29.844     -0.905 -2.147 |    -16.272    -25.017    -30.845    1.500 |
   23 |  4212 -   Sigma_c+ |  2 |    0   22   34   34 |  3  1 |  22.223     -0.921 -2.159 |    -12.322    -18.493    -23.485    2.454 |
   24 |    -1 -       dbar | 71 |    0    0   -1   -1 |  1  0 |   5.292      3.239 -0.434 |      4.801     -2.226     67.369    0.330 |
   25 |     2 -          u | 71 |    0    1   -1   -1 |  2  0 |   9.419      0.313  0.839 |      6.296      7.006      2.995    0.547 |
   26 |    21 -          g | 71 |    0    0   -1   -1 |  1  0 |   5.490     -2.103  0.668 |      4.310      3.401    -22.139   -0.000 |
   27 |  2212 -         p+ |  1 |    0    1   -1   -1 |  2  0 |   0.272      3.472 -1.132 |      0.115     -0.246      4.368    0.938 |
   28 |    16 -     nu_tau |  1 |   17   17   -1   -1 |  1  0 |   6.440     -1.370  1.031 |      3.309      5.525    -11.852    0.000 |
   29 |   -15 -       tau+ |  2 |   17   17   35   36 |  1  2 |   5.969     -1.619  1.121 |      2.597      5.374    -14.475    1.777 |
   30 |  -413 -        D*- |  2 |   17   17   37   37 |  1  1 |   9.883     -1.590  1.206 |      3.528      9.232    -23.227    2.010 |
   31 |    11 -         e- |  1 |    0   19   -1   -1 |  4  0 |   0.165     -3.082 -0.928 |      0.099     -0.132     -1.797    0.001 |
   32 |   -11 -         e+ |  1 |    0   19   -1   -1 |  4  0 |   0.021     -3.120 -0.720 |      0.016     -0.014     -0.233    0.001 |
   33 |   511 -         B0 |  2 |   20   20   38   41 |  1  3 |   2.223     -3.953 -0.120 |      2.207     -0.265    -57.893    5.280 |
   34 |  4122 -  Lambda_c+ |  2 |   23   23   -1   -1 |  1  0 |  19.908     -0.922 -2.160 |    -11.067    -16.548    -21.061    2.286 |
   35 |   -16 -  nu_taubar |  1 |   29   29   -1   -1 |  1  0 |   3.781     -1.779  1.017 |      1.987      3.217    -10.884   -0.000 |
   36 |   211 -        pi+ |  1 |   29   29   -1   -1 |  1  0 |   2.242     -1.250  1.295 |      0.610      2.158     -3.591    0.140 |
   37 |  -421 -      Dbar0 |  2 |   30   30   -1   -1 |  1  0 |   9.164     -1.591  1.202 |      3.306      8.547    -21.565    1.865 |
   38 |  -413 -        D*- |  2 |   33   33   39   39 |  1  1 |   0.457     -4.654  0.470 |      0.407      0.207    -23.986    2.010 |
   39 |  -411 -         D- |  2 |   38   38   42   43 |  1  2 |   0.402     -4.723  0.471 |      0.358      0.182    -22.612    1.870 |
   40 |    11 -         e- |  1 |   33   33   -1   -1 |  1  0 |   0.069     -3.191 -2.407 |     -0.051     -0.046     -0.838    0.001 |
   41 |   -11 -         e+ |  1 |   33   33   -1   -1 |  1  0 |   0.023     -4.276 -1.325 |      0.006     -0.022     -0.829    0.001 |
   42 |    11 -         e- |  1 |   39   39   -1   -1 |  1  0 |   0.312     -3.201  0.280 |      0.300      0.086     -3.826    0.001 |
   43 |   -11 -         e+ |  1 |   39   39   -1   -1 |  1  0 |   0.039     -3.172  0.149 |      0.038      0.006     -0.462    0.001 |

THIS EVT HAS Z->mumu + 1 quark
[ParticleListDrawer] analysing particle collection prunedGenParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
    0 |  2212 -         p+ |  4 |   -1   -1    2   21 |  0  5 |   0.000  29256.000  0.000 |      0.000      0.000   6500.000    0.938 |
    1 |  2212 -         p+ |  4 |   -1   -1    3   21 |  0  4 |   0.000 -29256.000  0.000 |      0.000      0.000  -6500.000    0.938 |
    2 |    21 -          g | 21 |    0    0    4    5 |  1  2 |   0.000  22794.127  0.000 |      0.000      0.000     38.127    0.000 |
    3 |     1 -          d | 21 |    1    1    4    5 |  1  2 |   0.000 -22845.613  0.000 |      0.000      0.000    -89.613    0.000 |
    4 |    23 -         Z0 | 22 |    2    3    6    6 |  2  1 |  22.269     -1.312  2.037 |    -10.010     19.893    -38.335   91.725 |
    5 |     1 -          d | 23 |    2    3    8    8 |  2  1 |  22.269     -0.561 -1.105 |     10.010    -19.893    -13.152   -0.000 |
    6 |    23 -         Z0 | 44 |    4    4    7    7 |  1  1 |  28.139     -1.134  1.995 |    -11.584     25.644    -39.213   91.725 |
    7 |    23 -         Z0 | 44 |    6    6    9    9 |  1  1 |  23.557     -1.237  2.001 |     -9.830     21.408    -37.154   91.725 |
    8 |     1 -          d | 44 |    5    5   16   18 |  1  3 |  21.406     -0.689 -1.092 |      9.864    -18.997    -15.946    0.000 |
    9 |    23 -         Z0 | 44 |    7    7   10   10 |  1  1 |  23.378     -1.242  2.008 |     -9.895     21.180    -37.087   91.725 |
   10 |    23 -         Z0 | 62 |    9    9   11   12 |  1  2 |  23.365     -1.242  1.979 |     -9.276     21.444    -37.082   91.725 |
   11 |   -13 -        mu+ | 23 |   10   10   15   15 |  1  1 |   7.509      2.111  1.194 |      2.761      6.984     30.549    0.106 |
   12 |    13 -        mu- | 23 |   10   10   13   14 |  1  2 |  18.815     -1.991  2.265 |    -12.037     14.461    -67.632    0.106 |
   13 |    13 -        mu- |  1 |   12   12   -1   -1 |  1  0 |  17.866     -1.991  2.265 |    -11.436     13.726    -64.221    0.106 |
   14 |    22 -      gamma |  1 |   12   12   -1   -1 |  1  0 |   0.949     -1.991  2.256 |     -0.601      0.734     -3.410    0.000 |
   15 |   -13 -        mu+ |  1 |   11   11   -1   -1 |  1  0 |   7.509      2.111  1.194 |      2.761      6.984     30.549    0.106 |
   16 |     1 -          d | 71 |    8    8   18   18 |  1  1 |   6.558     -0.583 -0.870 |      4.231     -5.011     -4.043   -0.000 |
   17 |    21 -          g | 71 |    8    8   18   18 |  1  1 |  10.122     -0.654 -1.194 |      3.724     -9.412     -7.103    0.536 |
   18 |  2212 -         p+ |  1 |    0   17   -1   -1 |  4  0 |   3.203     -0.947 -0.957 |      1.845     -2.618     -3.507    0.938 |
   19 |  2212 -         p+ |  1 |    0    1   -1   -1 |  2  0 |   0.185     -7.679 -0.533 |      0.159     -0.094   -199.432    0.938 |
   20 |   310 -       K_S0 |  1 |    0    1   -1   -1 |  2  0 |   1.011      1.984  0.332 |      0.956      0.329      3.605    0.498 |
   21 |  2212 -         p+ |  1 |    0    1   -1   -1 |  2  0 |   0.583     -3.126 -2.031 |     -0.259     -0.522     -6.628    0.938 |

THIS EVT HAS Z->ee + 0 quarks and gluons
[ParticleListDrawer] analysing particle collection prunedGenParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
    0 |  2212 -         p+ |  4 |   -1   -1    2   26 |  0 10 |   0.000  29256.000  0.000 |      0.000      0.000   6500.000    0.938 |
    1 |  2212 -         p+ |  4 |   -1   -1    3   23 |  0  7 |   0.000 -29256.000  0.000 |      0.000      0.000  -6500.000    0.938 |
    2 |    -2 -       ubar | 21 |    0    0    4    4 |  1  1 |   0.000  22756.766  0.000 |      0.000      0.000      0.766    0.000 |
    3 |     2 -          u | 21 |    1    1    4    4 |  1  1 |   0.000 -25647.240  0.000 |      0.000      0.000  -2891.240    0.000 |
    4 |    23 -         Z0 | 22 |    2    3    5    5 |  2  1 |   0.000 -25646.475  0.000 |      0.000      0.000  -2890.475   94.080 |
    5 |    23 -         Z0 | 44 |    4    4    6    6 |  1  1 |   2.628     -7.650  1.431 |      0.365      2.602  -2761.114   94.080 |
    6 |    23 -         Z0 | 44 |    5    5    7    7 |  1  1 |   1.796     -8.027 -2.960 |     -1.766     -0.325  -2751.117   94.080 |
    7 |    23 -         Z0 | 44 |    6    6    8    8 |  1  1 |   3.480     -7.366 -2.774 |     -3.247     -1.250  -2752.145   94.080 |
    8 |    23 -         Z0 | 44 |    7    7    9    9 |  1  1 |   3.492     -7.363 -2.771 |     -3.255     -1.264  -2752.166   94.080 |
    9 |    23 -         Z0 | 62 |    8    8   10   11 |  1  2 |   4.400     -7.132 -3.081 |     -4.392     -0.265  -2752.152   94.080 |
   10 |   -11 -         e+ | 23 |    9    9   12   15 |  1  4 |  36.780     -3.361 -1.147 |     15.133    -33.523   -529.226    0.001 |
   11 |    11 -         e- | 23 |    9    9   16   16 |  1  1 |  38.565     -4.747  2.102 |    -19.524     33.258  -2222.926    0.001 |
   12 |    13 -        mu- |  1 |   10   10   -1   -1 |  1  0 |   6.249     -3.752 -1.345 |      1.399     -6.091   -133.007    0.106 |
   13 |   -13 -        mu+ |  1 |   10   10   -1   -1 |  1  0 |   5.331     -3.659 -1.241 |      1.727     -5.044   -103.422    0.106 |
   14 |   -11 -         e+ |  1 |   10   10   -1   -1 |  1  0 |  16.606     -3.224 -1.081 |      7.818    -14.650   -208.351    0.001 |
   15 |    22 -      gamma |  1 |   10   10   -1   -1 |  1  0 |   8.427     -3.225 -1.076 |      4.001     -7.417   -105.866    0.000 |
   16 |    11 -         e- |  1 |   11   11   -1   -1 |  1  0 |  38.194     -4.747  2.102 |    -19.336     32.937  -2201.505    0.001 |
   17 |    21 -          g | 71 |    0    1   -1   -1 |  2  0 |   6.788      3.034 -0.163 |      6.698     -1.100     70.356   -0.000 |
   18 |     1 -          d | 71 |    0    0   24   26 |  1  3 |   0.052     10.340  2.927 |     -0.050      0.011    799.192    0.330 |
   19 |     1 -          d | 71 |    1    1   24   26 |  1  3 |   0.545     -6.861  2.407 |     -0.404      0.365   -259.898    0.330 |
   20 |     1 -          d | 71 |    0    1   24   26 |  2  3 |   1.579     -7.317 -1.942 |     -0.573     -1.471  -1188.597    0.330 |
   21 |  2212 -         p+ |  1 |    0    1   -1   -1 |  2  0 |   1.156     -4.424  3.132 |     -1.156      0.011    -48.224    0.938 |
   22 |  2212 -         p+ |  1 |    0    1   -1   -1 |  2  0 |   1.102     -5.519 -0.192 |      1.082     -0.210   -137.371    0.938 |
   23 |  2212 -         p+ |  1 |    0    1   -1   -1 |  2  0 |   0.559      4.541 -1.764 |     -0.107     -0.549     26.220    0.938 |
   24 |  2212 -         p+ |  1 |    0   20   -1   -1 |  4  0 |   0.062     -8.132 -2.514 |     -0.051     -0.037   -106.235    0.938 |
   25 |    11 -         e- |  1 |    0   20   -1   -1 |  4  0 |   0.153      5.176  2.174 |     -0.087      0.126     13.548    0.001 |
   26 |   -11 -         e+ |  1 |    0   20   -1   -1 |  4  0 |   0.010      4.664  1.685 |     -0.001      0.010      0.519    0.001 |

THIS EVT HAS Z->ee + 1 gluon
[ParticleListDrawer] analysing particle collection prunedGenParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
    0 |  2212 -         p+ |  4 |   -1   -1    2   23 |  0 11 |   0.000  29256.000  0.000 |      0.000      0.000   6500.000    0.938 |
    1 |  2212 -         p+ |  4 |   -1   -1    3   23 |  0 11 |   0.000 -29256.000  0.000 |      0.000      0.000  -6500.000    0.938 |
    2 |     2 -          u | 21 |    0    0    4    5 |  1  2 |   0.000  23255.334  0.000 |      0.000      0.000    499.334    0.000 |
