30-Oct-2015 07:55:31 CDT  Initiating request to open file file:/eos/uscms/store/user/skalafut/WR_2600_ToENu_1300_ToEEJJ_GENSIM/WRToENuToEEJJ_MW-2600_MNu-1300_13TeV_GEN-SIM/150519_203237/0000/WR_M-2600_ToENu_M-1300_13TeV_GEN_SIM_1.root
30-Oct-2015 07:55:32 CDT  Successfully opened file file:/eos/uscms/store/user/skalafut/WR_2600_ToENu_1300_ToEEJJ_GENSIM/WRToENuToEEJJ_MW-2600_MNu-1300_13TeV_GEN-SIM/150519_203237/0000/WR_M-2600_ToENu_M-1300_13TeV_GEN_SIM_1.root
Begin processing the 1st record. Run 1, Event 1, LumiSection 1 at 30-Oct-2015 07:55:37.549 CDT

[ParticleListDrawer] analysing particle collection genParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
  961 |    22 -      gamma |  1 |  833  833   -1   -1 |  1  0 |   8.333     -2.383  1.598 |     -0.229      8.330    -44.792   -0.000 |
  962 |    22 -      gamma |  1 |  842  842   -1   -1 |  1  0 |   0.682     -2.152  1.767 |     -0.133      0.669     -2.893   -0.000 |
  963 |    22 -      gamma |  1 |  842  842   -1   -1 |  1  0 |   0.607     -1.989  1.900 |     -0.196      0.574     -2.176   -0.000 |
  964 |    22 -      gamma |  1 |  848  848   -1   -1 |  1  0 |   0.681     -1.778  1.904 |     -0.223      0.644     -1.959   -0.000 |
  965 |    22 -      gamma |  1 |  848  848   -1   -1 |  1  0 |   0.257     -1.927  2.191 |     -0.149      0.209     -0.864   -0.000 |
  966 |  -411 -         D- |  2 |  851  851  980  982 |  1  3 |  22.793     -1.710  1.374 |      4.459     22.353    -60.975    1.870 |
  967 |   111 -        pi0 |  2 |  851  851  983  984 |  1  2 |   1.786     -1.717  1.352 |      0.387      1.744     -4.814    0.135 |
  968 |  -321 -         K- |  1 |  852  852   -1   -1 |  1  0 |   8.244     -1.697  1.377 |      1.590      8.089    -21.749    0.494 |
  969 |   211 -        pi+ |  1 |  852  852   -1   -1 |  1  0 |   7.135     -1.763  1.357 |      1.514      6.972    -20.181    0.140 |
  970 |   411 -         D+ |  2 |  853  853  985  987 |  1  3 |  46.753     -1.736  1.384 |      8.689     45.939   -128.580    1.870 |
  971 |    22 -      gamma |  1 |  853  853   -1   -1 |  1  0 |   3.121     -1.695  1.361 |      0.649      3.053     -8.216   -0.000 |
  972 |    22 -      gamma |  1 |  856  856   -1   -1 |  1  0 |   0.856      2.724  1.746 |     -0.149      0.843      6.496   -0.000 |
  973 |    22 -      gamma |  1 |  856  856   -1   -1 |  1  0 |   0.670      2.027  1.614 |     -0.029      0.669      2.499    0.000 |
  974 |    22 -      gamma |  1 |  863  863   -1   -1 |  1  0 |   0.158     -4.180  2.960 |     -0.155      0.028     -5.157   -0.000 |
  975 |    22 -      gamma |  1 |  863  863   -1   -1 |  1  0 |   0.115     -4.357 -2.291 |     -0.076     -0.086     -4.481   -0.000 |
  976 |    22 -      gamma |  1 |  866  866   -1   -1 |  1  0 |   0.198     -9.107 -1.942 |     -0.072     -0.184   -891.791    0.000 |
  977 |    22 -      gamma |  1 |  866  866   -1   -1 |  1  0 |   0.124     -8.387 -1.488 |      0.010     -0.123   -272.039    0.000 |
  978 |  -311 -      Kbar0 |  2 |  945  945  988  988 |  1  1 |  15.176     -1.544  2.461 |    -11.800      9.544    -33.903    0.498 |
  979 |   111 -        pi0 |  2 |  945  945  989  990 |  1  2 |  11.309     -1.545  2.416 |     -8.458      7.507    -25.316    0.135 |
  980 |  -311 -      Kbar0 |  2 |  966  966  991  991 |  1  1 |  10.899     -1.683  1.343 |      2.460     10.618    -28.326    0.498 |
  981 |   221 -        eta |  2 |  966  966  992  993 |  1  2 |   4.759     -1.794  1.428 |      0.680      4.711    -13.919    0.548 |
  982 |  -211 -        pi- |  1 |  966  966   -1   -1 |  1  0 |   7.146     -1.691  1.385 |      1.320      7.023    -18.729    0.140 |
  983 |    22 -      gamma |  1 |  967  967   -1   -1 |  1  0 |   1.079     -1.767  1.321 |      0.267      1.045     -3.064   -0.000 |
  984 |    22 -      gamma |  1 |  967  967   -1   -1 |  1  0 |   0.709     -1.635  1.401 |      0.120      0.699     -1.749   -0.000 |
  985 |   -13 -        mu+ |  1 |  970  970   -1   -1 |  1  0 |   6.276     -1.694  1.340 |      1.437      6.109    -16.497    0.106 |
  986 |    14 -      nu_mu |  1 |  970  970   -1   -1 |  1  0 |  10.126     -1.736  1.354 |      2.173      9.890    -27.824   -0.000 |
  987 |  -313 -     K*bar0 |  2 |  970  970  994  995 |  1  2 |  30.367     -1.745  1.403 |      5.078     29.940    -84.259    0.921 |
  988 |   130 -       K_L0 |  1 |  978  978   -1   -1 |  1  0 |  15.176     -1.544  2.461 |    -11.800      9.544    -33.903    0.498 |
  989 |    22 -      gamma |  1 |  979  979   -1   -1 |  1  0 |   4.621     -1.545  2.430 |     -3.499      3.017    -10.337   -0.000 |
  990 |    22 -      gamma |  1 |  979  979   -1   -1 |  1  0 |   6.689     -1.546  2.406 |     -4.959      4.490    -14.980   -0.000 |
  991 |   310 -       K_S0 |  1 |  980  980   -1   -1 |  1  0 |  10.899     -1.683  1.343 |      2.460     10.618    -28.326    0.498 |
  992 |    22 -      gamma |  1 |  981  981   -1   -1 |  1  0 |   3.294     -1.807  1.353 |      0.712      3.216     -9.766    0.000 |
  993 |    22 -      gamma |  1 |  981  981   -1   -1 |  1  0 |   1.495     -1.746  1.593 |     -0.032      1.495     -4.153    0.000 |
  994 |  -311 -      Kbar0 |  2 |  987  987  996  996 |  1  1 |  21.626     -1.739  1.416 |      3.342     21.367    -59.669    0.498 |
  995 |   111 -        pi0 |  2 |  987  987  997  998 |  1  2 |   8.747     -1.757  1.371 |      1.736      8.573    -24.590    0.135 |
  996 |   310 -       K_S0 |  1 |  994  994   -1   -1 |  1  0 |  21.626     -1.739  1.416 |      3.342     21.367    -59.669    0.498 |
  997 |    22 -      gamma |  1 |  995  995   -1   -1 |  1  0 |   4.028     -1.741  1.366 |      0.818      3.944    -11.130   -0.000 |
  998 |    22 -      gamma |  1 |  995  995   -1   -1 |  1  0 |   4.719     -1.771  1.375 |      0.918      4.629    -13.460   -0.000 |
30-Oct-2015 07:55:39 CDT  Closed file file:/eos/uscms/store/user/skalafut/WR_2600_ToENu_1300_ToEEJJ_GENSIM/WRToENuToEEJJ_MW-2600_MNu-1300_13TeV_GEN-SIM/150519_203237/0000/WR_M-2600_ToENu_M-1300_13TeV_GEN_SIM_1.root

TrigReport ---------- Event  Summary ------------
TrigReport Events total = 1 passed = 1 failed = 0

TrigReport ---------- Path   Summary ------------
TrigReport  Trig Bit#   Executed     Passed     Failed      Error Name
TrigReport     1    0          1          1          0          0 checkWRdecay

TrigReport -------End-Path   Summary ------------
TrigReport  Trig Bit#   Executed     Passed     Failed      Error Name

TrigReport ---------- Modules in Path: checkWRdecay ------------
TrigReport  Trig Bit#    Visited     Passed     Failed      Error Name
TrigReport     1    0          1          1          0          0 printParticleTree
TrigReport     1    1          1          1          0          0 bareMatchedWR
TrigReport     1    2          1          1          0          0 bareMatchedWRFilter
TrigReport     1    3          1          1          0          0 genWRAnalyzerOne

TrigReport ---------- Module Summary ------------
TrigReport    Visited   Executed     Passed     Failed      Error Name
TrigReport          1          1          1          0          0 printParticleTree
TrigReport          1          1          1          0          0 bareMatchedWR
TrigReport          1          1          1          0          0 bareMatchedWRFilter
TrigReport          1          1          1          0          0 genWRAnalyzerOne
TrigReport          1          1          1          0          0 TriggerResults

TimeReport ---------- Event  Summary ---[sec]----
TimeReport       event loop CPU/event = 3.665108
TimeReport      event loop Real/event = 4.669932
TimeReport     sum Streams Real/event = 1.748739
TimeReport efficiency CPU/Real/thread = 0.784831

TimeReport ---------- Path   Summary ---[Real sec]----
TimeReport  per event     per exec  Name
TimeReport   1.630109     1.630109  checkWRdecay
TimeReport  per event     per exec  Name

TimeReport -------End-Path   Summary ---[Real sec]----
TimeReport  per event     per exec  Name
TimeReport  per event     per exec  Name

TimeReport ---------- Modules in Path: checkWRdecay ---[Real sec]----
TimeReport  per event    per visit  Name
TimeReport   0.053416     0.053416  printParticleTree
TimeReport   1.562294     1.562294  bareMatchedWR
TimeReport   0.000067     0.000067  bareMatchedWRFilter
TimeReport   0.000174     0.000174  genWRAnalyzerOne
TimeReport  per event    per visit  Name

TimeReport ---------- Module Summary ---[Real sec]----
TimeReport  per event     per exec    per visit  Name
TimeReport   0.000036     0.000036     0.000036  TriggerResults
TimeReport   0.053416     0.053416     0.053416  printParticleTree
TimeReport   1.562294     1.562294     1.562294  bareMatchedWR
TimeReport   0.000067     0.000067     0.000067  bareMatchedWRFilter
TimeReport   0.000174     0.000174     0.000174  genWRAnalyzerOne
TimeReport  per event     per exec    per visit  Name

T---Report end!


=============================================

MessageLogger Summary

 type     category        sev    module        subroutine        count    total
 ---- -------------------- -- ---------------- ----------------  -----    -----
    1 fileAction           -s file_close                             1        1
    2 fileAction           -s file_open                              2        2

 type    category    Examples: run/evt        run/evt          run/evt
 ---- -------------------- ---------------- ---------------- ----------------
    1 fileAction           PostEndRun                        
    2 fileAction           pre-events       pre-events       

Severity    # Occurrences   Total Occurrences
--------    -------------   -----------------
System                  3                   3
